player_id,player_name,n_games,slope,r,p_two_sided
brownja02,Jaylen Brown,188,0.09163020976741328,0.16416228394337493,0.024375249247400015
dinwisp01,Spencer Dinwiddie,207,0.09204970798569248,0.2667098987346105,0.00010247628529620765
reaveau01,Austin Reaves,192,0.09703800817459816,0.3439430787973648,1.0366892591408445e-06
mitchda01,Davion Mitchell,70,0.09726408689602732,0.405573505939733,0.0004955617373025374
whiteco01,Coby White,199,0.09776863806463938,0.46506903597118515,4.502020253662808e-12
youngtr01,Trae Young,139,0.09785232679245601,0.10192932752875784,0.23248199455226184
harriga01,Gary Harris,56,0.09885238338737096,0.4542505570303713,0.00043702188052835775
mccolcj01,CJ McCollum,188,0.10017923208662004,0.18779438324419973,0.009858987832668717
sharpsh01,Shaedon Sharpe,75,0.10125063665419176,0.42466090178205,0.00014628174146276058
reidna01,Naz Reid,76,0.10168700007822433,0.276030936015002,0.015796086734385765
georgpa01,Paul George,69,0.10360272331976335,0.173633669912658,0.153630735320335
kuminjo01,Jonathan Kuminga,131,0.1041356864066277,0.393861091235609,3.2510299609930586e-06
pokusal01,Aleksej Pokusevski,56,0.1050971063429534,0.5888033065086566,1.813050122339496e-06
vassede01,Devin Vassell,129,0.10686261930120738,0.32841081786826287,0.000144889713462101
sabondo01,Domantas Sabonis,208,0.10765973072915025,0.17320531950069648,0.012353311790968916
embiijo01,Joel Embiid,124,0.10842751504177979,0.12637325355329543,0.1619345012272204
morrima03,Marcus Morris,60,0.10864563255825915,0.3367243704904102,0.00852102960450187
plumlma01,Mason Plumlee,142,0.10878503234488328,0.37523668495829726,4.200436693570302e-06
maxeyty01,Tyrese Maxey,190,0.11764222612780452,0.23022717881406923,0.0013956031859575066
conlemi01,Mike Conley,200,0.12049687859040982,0.1801649276572965,0.010683907945467338
sengual01,Alperen ÅengÃ¼n,195,0.12137829813299007,0.47226036266291416,3.169515139511852e-12
simonan01,Anfernee Simons,57,0.12149405720252718,0.24654914956637386,0.06448380361889018
hardeja01,James Harden,127,0.12177543303806963,0.16080879281280605,0.07090615290671194
brunsja01,Jalen Brunson,209,0.1264804871997684,0.2528179792312118,0.0002214451447769817
whitede01,Derrick White,215,0.12793040798012187,0.3425744741555766,2.5973094470775007e-07
grantje01,Jerami Grant,58,0.13024882298209647,0.15535495071648361,0.24423005493315011
moranja01,Ja Morant,56,0.1343110421494827,0.24169641587021043,0.07271634594189243
porteke02,Kevin Porter Jr.,56,0.15756894665487975,0.2962673534011418,0.02661678463230397
irvinky01,Kyrie Irving,55,0.16057237943387176,0.1903581747464053,0.16389990098966103
middlkh01,Khris Middleton,61,0.17107777900991136,0.2766267887428064,0.03091738855378861
markkla01,Lauri Markkanen,117,0.23445627148040116,0.41867107207306886,2.6316510650560287e-06
